county,region,population,demand_acft,supply_acft,deficit_acft,deficit_pct,severity_tier,data_centers,semi_fabs,total_facilities
JONES,G,24312,7198,6728,954,13.25,Moderate,0,0,0
KARNES,L,15968,6494,6455,1457,22.44,Moderate,0,0,0
KAUFMAN,C,306833,53921,38048,16698,30.97,Severe,0,0,0
KENDALL,L,73308,12743,13216,1332,10.45,Moderate,0,0,0
KENEDY,N,507,1066,1058,8,0.75,Low,0,0,0
KENT,G,816,1499,2960,0,0.0,None,0,0,0
KERR,J,58665,9926,18303,348,3.51,Low,0,0,0
KIMBLE,F,4754,4544,2132,2412,53.08,Critical,0,0,0
KING,B,316,746,776,0,0.0,None,0,0,0
KINNEY,J,3720,5202,12959,27,0.52,Low,0,0,0
KLEBERG,N,45324,10360,10007,353,3.41,Low,0,0,0
KNOX,G,4183,39274,27284,11999,30.55,Severe,0,0,0
LA SALLE,L,9987,11326,8598,3538,31.24,Severe,0,0,0
LAMAR,D,57037,28765,63090,2309,8.03,Low,0,0,0
LAMB,O,15419,226485,44827,187208,82.66,Critical,0,0,0
LAMPASAS,G,27689,5916,4448,1725,29.16,Severe,0,0,0
LAVACA,P,19263,17079,19821,0,0.0,None,0,0,0
LEE,G,23375,5878,11950,13,0.22,Low,0,0,0
LEON,H,22071,8773,8630,143,1.63,Low,0,0,0
LIBERTY,H,118048,61332,68030,9977,16.27,Moderate,0,0,0
LIMESTONE,G,29134,38356,32222,8555,22.3,Moderate,0,0,0
LIPSCOMB,A,4211,43259,43132,241,0.56,Low,0,0,0
LIVE OAK,N,11690,7308,6745,563,7.7,Low,0,0,0
LLANO,K,22035,7908,11627,584,7.38,Low,0,0,0
LOVING,F,82,5441,3636,1805,33.17,Severe,0,0,0
LUBBOCK,O,414938,205899,147747,65459,31.79,Severe,0,1,1
LYNN,O,6594,90901,78629,12822,14.11,Moderate,0,0,0
MADISON,H,17872,5033,5202,0,0.0,None,0,0,0
MARION,D,10601,6057,10865,502,8.29,Low,0,0,0
MARTIN,F,6735,41125,41524,718,1.75,Low,0,0,0
MASON,F,4012,7140,6463,677,9.48,Low,0,0,0
MATAGORDA,K,43570,268426,164669,119568,44.54,Severe,0,0,0
MAVERICK,M,90304,72670,57334,15750,21.67,Moderate,0,0,0
MCCULLOCH,F,9125,11141,9852,1410,12.66,Moderate,0,0,0
MCLENNAN,G,307661,93029,115508,8554,9.19,Low,0,1,1
MCMULLEN,N,734,3295,3295,0,0.0,None,0,0,0
MEDINA,L,70896,73276,38181,38489,52.53,Critical,0,0,0
MENARD,F,2242,5204,5008,196,3.77,Low,0,0,0
MIDLAND,F,232357,67389,54638,12751,18.92,Moderate,0,1,1
MILAM,G,30300,46660,15723,33062,70.86,Critical,0,0,0
MILLS,K,5417,6400,5508,1737,27.14,Severe,0,0,0
MITCHELL,F,11706,26284,14158,12126,46.13,Severe,0,0,0
MONTAGUE,B,21979,6245,7107,110,1.76,Low,0,0,0
MONTGOMERY,H,1267916,198653,127364,83518,42.04,Severe,1,0,1
MOORE,A,36050,160161,107384,52778,32.95,Severe,0,0,0
MORRIS,D,14293,29133,117666,999,3.43,Low,0,0,0
MOTLEY,O,1212,10261,13628,0,0.0,None,0,0,0
NACOGDOCHES,I,99155,30368,34400,7607,25.05,Severe,0,0,0
NAVARRO,C,74213,16436,14972,1775,10.8,Moderate,1,0,1
NEWTON,I,14445,7826,16973,0,0.0,None,0,0,0
NOLAN,G,18325,15195,6256,8948,58.89,Critical,0,0,0
NUECES,N,440797,139157,119408,19749,14.19,Moderate,0,2,2
OCHILTREE,A,14061,91562,91401,197,0.22,Low,0,0,0
OLDHAM,A,2376,7357,8016,0,0.0,None,0,0,0
ORANGE,I,94848,64843,74770,526,0.81,Low,0,0,0
PALO PINTO,G,35675,11436,20226,4212,36.83,Severe,0,1,1
PANOLA,I,27873,12401,16680,982,7.92,Low,0,0,0
PARKER,C,360125,62835,40005,24002,38.2,Severe,0,0,0
PARMER,O,14827,206127,47849,161748,78.47,Critical,0,0,0
PECOS,F,22021,157851,155851,2000,1.27,Low,0,0,0
POLK,I,66796,10194,13884,0,0.0,None,0,0,0
POTTER,A,180486,70749,57349,15202,21.49,Moderate,1,0,1
PRESIDIO,E,10972,6170,16115,0,0.0,None,0,0,0
RAINS,D,12947,2656,4234,20,0.75,Low,0,0,0
RANDALL,A,182010,59258,49158,12204,20.59,Moderate,0,0,0
REAGAN,F,4812,27573,27836,0,0.0,None,0,0,0
REAL,J,3329,848,3105,135,15.92,Moderate,0,0,0
RED RIVER,D,12976,6818,14451,2559,37.53,Severe,0,0,0
REEVES,F,17650,74174,66337,7837,10.57,Moderate,0,0,0
REFUGIO,L,8119,2736,2736,0,0.0,None,0,0,0
ROBERTS,A,1047,9447,9529,0,0.0,None,0,0,0
ROBERTSON,G,26441,145175,139056,18050,12.43,Moderate,0,0,0
ROCKWALL,C,246938,45577,32478,13808,30.3,Severe,0,1,1
RUNNELS,F,11300,5376,5861,425,7.91,Low,0,0,0
RUSK,I,79763,63411,65727,1417,2.23,Low,0,0,0
