county,region,population_2020,population_2030,population_2040,population_2050,population_2060,population_2070,unmet_needs_2020_acft,unmet_needs_2030_acft,unmet_needs_2040_acft,unmet_needs_2050_acft,unmet_needs_2060_acft,unmet_needs_2070_acft,severity_pct,severity_tier,data_centers,semi_fabs,total_facilities
LAMB,O,14615,15175,15438,15419,15791,15975,75854,187242,187176,187208,187603,188042,82.66,Critical,0,0,0
LAMPASAS,G,21800,24100,25874,27689,29296,30741,862,1185,1443,1725,2009,2347,29.16,Severe,0,0,0
LAVACA,P,19263,19263,19263,19263,19263,19263,0,0,0,0,0,0,0.0,None,0,0,0
LEE,G,19131,21511,22877,23375,23709,23889,275,176,13,13,11,12,0.22,Low,0,0,0
LEON,H,18211,19536,20603,22071,23340,24582,0,222,143,143,143,143,1.63,Low,0,0,0
LIBERTY,H,86303,97227,107618,118048,128028,137560,9882,9920,9931,9977,10030,10100,16.27,Moderate,0,0,0
LIMESTONE,G,25136,26615,27817,29134,30206,31152,8494,8146,8076,8555,9071,9832,22.3,Moderate,0,0,0
LIPSCOMB,A,3599,3858,4011,4211,4350,4465,0,0,97,241,344,372,0.56,Low,0,0,0
LIVE OAK,N,11683,11690,11690,11690,11690,11690,344,563,563,563,564,563,7.7,Low,0,0,0
LLANO,K,21291,22453,22422,22035,22779,23549,591,620,606,584,612,642,7.38,Low,0,0,0
LOVING,F,82,82,82,82,82,82,3906,3906,3005,1805,1000,1000,33.17,Severe,0,0,0
LUBBOCK,O,309769,343977,378320,414938,449770,484316,13501,54855,60489,65459,72226,77808,31.79,Severe,0,1,1
LYNN,O,6279,6605,6624,6594,6924,7074,635,785,6183,12822,16885,19439,14.11,Moderate,0,0,0
MADISON,H,14753,15817,16786,17872,18886,19877,0,375,157,0,0,0,0.0,None,0,0,0
MARION,D,10601,10601,10601,10601,10601,10601,388,663,612,502,394,321,8.29,Low,0,0,0
MARTIN,F,5433,5986,6382,6735,7000,7205,0,0,0,718,3227,4972,1.75,Low,0,0,0
MASON,F,4012,4012,4012,4012,4012,4012,700,690,682,677,676,676,9.48,Low,0,0,0
MATAGORDA,K,39166,41226,42548,43570,44296,44815,134502,129401,124402,119568,114862,110277,44.54,Severe,0,0,0
MAVERICK,M,63107,72491,81243,90304,98988,107327,18686,17630,17041,15750,14477,13514,21.67,Moderate,0,0,0
MCCULLOCH,F,8635,9000,9030,9125,9152,9165,1391,1420,1402,1410,1412,1414,12.66,Moderate,0,0,0
MCLENNAN,G,252211,272216,289887,307661,325373,342757,3576,7009,7559,8554,9632,13303,9.19,Low,0,1,1
MCMULLEN,N,734,734,734,734,734,734,0,0,0,0,0,0,0.0,None,0,0,0
MEDINA,L,52653,59694,65676,70896,75605,79700,36808,37544,37831,38489,39053,40481,52.53,Critical,0,0,0
MENARD,F,2242,2242,2242,2242,2242,2242,211,203,197,196,196,196,3.77,Low,0,0,0
MIDLAND,F,169062,195286,213581,232357,250264,269070,48,5876,9659,12751,15806,19054,18.92,Moderate,0,1,1
MILAM,G,26234,27793,28896,30300,31501,32629,32333,32795,33335,33062,33086,33215,70.86,Critical,0,0,0
MILLS,K,4912,5076,5213,5417,5625,5859,1737,1737,1737,1737,1739,1756,27.14,Severe,0,0,0
MITCHELL,F,10531,11329,11566,11706,11826,11930,11910,12317,12233,12126,12060,11991,46.13,Severe,0,0,0
MONTAGUE,B,20507,21260,21600,21979,22223,22401,1291,277,308,110,208,305,1.76,Low,0,0,0
