rank,county,region,deficit_acft,deficit_pct,severity_tier,total_facilities,data_centers,semi_fabs,cumulative_deficit_pct,cumulative_facilities_pct
188,SHACKELFORD,G,233,11.23,Moderate,0,0,0,99.97,99.39
189,FISHER,G,216,3.44,Low,0,0,0,99.98,99.39
190,OCHILTREE,A,197,0.22,Low,0,0,0,99.98,99.39
191,MENARD,F,196,3.77,Low,0,0,0,99.98,99.39
192,FALLS,G,188,1.43,Low,0,0,0,99.99,99.39
193,EDWARDS,J,153,14.29,Moderate,0,0,0,99.99,99.39
194,LEON,H,143,1.63,Low,0,0,0,99.99,99.39
195,REAL,J,135,15.92,Moderate,0,0,0,99.99,99.39
196,MONTAGUE,B,110,1.76,Low,0,0,0,100.0,99.39
197,BLANCO,K,60,1.53,Low,0,0,0,100.0,99.39
198,WHEELER,A,47,0.24,Low,0,0,0,100.0,99.39
199,KINNEY,J,27,0.52,Low,0,0,0,100.0,99.39
200,HARDEMAN,B,23,0.16,Low,0,0,0,100.0,99.39
201,RAINS,D,20,0.75,Low,0,0,0,100.0,99.39
202,CLAY,B,17,0.29,Low,0,0,0,100.0,99.39
203,HAMILTON,G,16,0.5,Low,0,0,0,100.0,99.39
204,GREGG,D,14,0.03,Low,1,0,1,100.0,100.0
205,LEE,G,13,0.22,Low,0,0,0,100.0,100.0
206,ERATH,G,8,0.04,Low,0,0,0,100.0,100.0
207,KENEDY,N,8,0.75,Low,0,0,0,100.0,100.0
