county,region,total_facilities,data_centers,semi_fabs,deficit_acft,predicted_deficit,residual,severity_tier
MOORE,A,0,0,0,52778,25623.0,27155.0,Severe
MORRIS,D,0,0,0,999,25623.0,-24624.0,Low
NACOGDOCHES,I,0,0,0,7607,25623.0,-18016.0,Severe
NAVARRO,C,1,1,0,1775,28656.6,-26881.6,Moderate
NOLAN,G,0,0,0,8948,25623.0,-16675.0,Critical
NUECES,N,2,0,2,19749,31690.3,-11941.3,Moderate
OCHILTREE,A,0,0,0,197,25623.0,-25426.0,Low
ORANGE,I,0,0,0,526,25623.0,-25097.0,Low
PALO PINTO,G,1,0,1,4212,28656.6,-24444.6,Severe
PANOLA,I,0,0,0,982,25623.0,-24641.0,Low
PARKER,C,0,0,0,24002,25623.0,-1621.0,Severe
PARMER,O,0,0,0,161748,25623.0,136125.0,Critical
PECOS,F,0,0,0,2000,25623.0,-23623.0,Low
POTTER,A,1,1,0,15202,28656.6,-13454.6,Moderate
RAINS,D,0,0,0,20,25623.0,-25603.0,Low
RANDALL,A,0,0,0,12204,25623.0,-13419.0,Moderate
REAL,J,0,0,0,135,25623.0,-25488.0,Moderate
RED RIVER,D,0,0,0,2559,25623.0,-23064.0,Severe
REEVES,F,0,0,0,7837,25623.0,-17786.0,Moderate
ROBERTSON,G,0,0,0,18050,25623.0,-7573.0,Moderate
ROCKWALL,C,1,0,1,13808,28656.6,-14848.6,Severe
RUNNELS,F,0,0,0,425,25623.0,-25198.0,Low
RUSK,I,0,0,0,1417,25623.0,-24206.0,Low
SAN AUGUSTINE,I,0,0,0,2137,25623.0,-23486.0,Severe
SAN PATRICIO,N,0,0,0,12640,25623.0,-12983.0,Moderate
SCURRY,F,0,0,0,7811,25623.0,-17812.0,Critical
SHACKELFORD,G,0,0,0,233,25623.0,-25390.0,Moderate
SHELBY,I,0,0,0,14991,25623.0,-10632.0,Critical
SHERMAN,A,1,0,1,38831,28656.6,10174.4,Moderate
SMITH,D,2,2,0,2343,31690.3,-29347.3,Low
SOMERVELL,G,0,0,0,36292,25623.0,10669.0,Severe
STARR,M,0,0,0,24663,25623.0,-960.0,Critical
STEPHENS,G,0,0,0,2367,25623.0,-23256.0,Severe
STONEWALL,G,0,0,0,360,25623.0,-25263.0,Severe
SWISHER,O,0,0,0,70822,25623.0,45199.0,Critical
TARRANT,C,5,4,1,202090,40791.3,161298.7,Severe
TAYLOR,G,0,0,0,14258,25623.0,-11365.0,Severe
TERRELL,E,0,0,0,416,25623.0,-25207.0,Moderate
TERRY,O,0,0,0,43079,25623.0,17456.0,Severe
THROCKMORTON,G,0,0,0,362,25623.0,-25261.0,Severe
TITUS,D,0,0,0,35810,25623.0,10187.0,Severe
TOM GREEN,F,0,0,0,9266,25623.0,-16357.0,Moderate
TRAVIS,K,27,1,26,25866,107532.0,-81666.0,Low
UPSHUR,D,0,0,0,285,25623.0,-25338.0,Low
UVALDE,L,0,0,0,44779,25623.0,19156.0,Critical
VAL VERDE,J,0,0,0,6525,25623.0,-19098.0,Severe
VAN ZANDT,D,0,0,0,730,25623.0,-24893.0,Low
VICTORIA,L,0,0,0,45602,25623.0,19979.0,Critical
WALLER,H,0,0,0,2343,25623.0,-23280.0,Low
WARD,F,0,0,0,2352,25623.0,-23271.0,Moderate
WASHINGTON,G,0,0,0,2107,25623.0,-23516.0,Moderate
WEBB,M,0,0,0,7075,25623.0,-18548.0,Low
WHARTON,K,0,0,0,69691,25623.0,44068.0,Moderate
WHEELER,A,0,0,0,47,25623.0,-25576.0,Low
WICHITA,B,0,0,0,27734,25623.0,2111.0,Severe
WILBARGER,B,0,0,0,3531,25623.0,-22092.0,Low
WILLACY,M,0,0,0,70215,25623.0,44592.0,Critical
WILLIAMSON,K,5,1,4,93710,40791.3,52918.7,Severe
WILSON,L,0,0,0,7758,25623.0,-17865.0,Moderate
WISE,C,0,0,0,19962,25623.0,-5661.0,Severe
WOOD,D,0,0,0,2681,25623.0,-22942.0,Moderate
YOAKUM,O,0,0,0,79379,25623.0,53756.0,Critical
YOUNG,B,0,0,0,2567,25623.0,-23056.0,Severe
ZAPATA,M,0,0,0,3966,25623.0,-21657.0,Severe
ZAVALA,L,0,0,0,20733,25623.0,-4890.0,Severe
