FRS_FACILITY_DETAIL_REPORT_URL,REGISTRY_ID,PRIMARY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_LOCATION,CITY_NAME,COUNTY_NAME,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NAME,POSTAL_CODE,FEDERAL_FACILITY_CODE,FEDERAL_AGENCY_NAME,TRIBAL_LAND_CODE,TRIBAL_LAND_NAME,CONGRESSIONAL_DIST_NUM,CENSUS_BLOCK_CODE,HUC_CODE,EPA_REGION_CODE,SITE_TYPE_NAME,LOCATION_DESCRIPTION,CREATE_DATE,UPDATE_DATE,US_MEXICO_BORDER_IND,PGM_SYS_ACRNMS,LATITUDE83,LONGITUDE83,CONVEYOR,COLLECT_DESC,ACCURACY_VALUE,REF_POINT_DESC,HDATUM_DESC,SOURCE_DESC
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070339776,1.1007E+11,ABM JANITORIAL SERVICES,12100 SAMSUNG BLVD.,,AUSTIN,,,TX,,,78758,,,,,10,4.8453E+14,12090301,06,,,27-Sep-18,,,OSHA-OIS:341976009,30.37286,-97.63375,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070362458,1.1007E+11,REACTION TECHNOLOGY EPI,301 RIDGEMONT DR,,ALLEN,COLLIN COUNTY,48085,TX,TEXAS,,75002-4203,,,,,03,4.8085E+14,12030106,06,STATIONARY,,5-Oct-18,,,"NPDES:TXRNEBB98, TRIS:7500WRCTNT31RID",33.08027,-96.67844,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070454192,1.1007E+11,"TEXAS INSTRUMENTS, SOUTH BUILDING","13536 N CENTRAL EXPRESSWAY, MS910",,DALLAS,DALLAS,48113,TX,,UNITED STATES,75243,,,,,03,4.8113E+14,12030105,06,STATIONARY,,2-Jan-19,,,,32.933393,-96.753338,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070550479,1.10071E+11,CYPRESS SEMICONDUCTOR,5204 E BEN WHITE BLVD,,AUSTIN,TRAVIS COUNTY,48453,TX,,,78741,,,,,25,4.8453E+14,12090205,06,STATIONARY,,28-May-19,,,"E-GGRT:1010141, TSCA:TSCA10040222",30.21421,-97.72481,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070755373,1.10071E+11,MARLOW INDUSTRIES,10451 VISTA PARK RD,,DALLAS,DALLAS,48113,TX,,USA,75238-1645,,,,,03,4.8113E+14,12030105,06,STATIONARY,,7-May-20,,,"BR:TXD062886981, EIS:4146511",32.89278,-96.70304,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070801624,1.10071E+11,INTELLIEPI RIDGEMONT PHASE 2,111 RIDGEMONT DR,,ALLEN,COLLIN,48085,TX,TEXAS,UNITED STATES,75002,,,,,03,4.8085E+14,12030106,06,STATIONARY,,10-Jun-20,,,"BR:TXR000085228, NPDES:TXR1526WC, RCRAINFO:TXR000085228",33.080665,-96.683684,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071140319,1.10071E+11,MICROSS FORMERLY ETECH WEB CORFIN,33 CYPRESS BLVD STE 400,,ROUND ROCK,WILLIAMSON,48491,TX,TEXAS,UNITED STATES,78665-1010,,,,,31,4.8491E+14,12070205,,STATIONARY,,28-Oct-21,,,RCRAINFO:TXR000085551,30.557934,-97.683115,RCRAINFO,GDT-ADDRESS MATCHING (GEOCODING),,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071241344,1.10071E+11,"MICROPAC INDUSTRIES, INC.",1655 STATE HIGHWAY 66,,GARLAND,DALLAS COUNTY,48113,TX,,,75040,,,,,03,4.8113E+14,12030106,06,STATIONARY,,8-Apr-22,,,"NPDES:TXRNEBY69, TRIS:7504WMCRPC1655S",32.911591,-96.606331,ICIS,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071277377,1.10071E+11,BLUE SKY WRF,751 COUNTY ROAD 401,,TAYLOR,WILLIAMSON COUNTY,48491,TX,TEXAS,,76574-5211,,,,,31,4.8491E+14,12070205,06,STATIONARY,,3-Jun-22,,,"NPDES:TXR05GO42, NPDES:TXR1545JB, NPDES:TXR1552MT, RCRAINFO:TXR000086659",30.56,-97.43,ICIS,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071334322,1.10071E+11,TELEDYNE MICROPAC,1655 STATE HWY 66 GARLAND TX 75040,,GARLAND,DALLAS,48113,TX,TEXAS,UNITED STATES,75040,,,,,03,4.8113E+14,12030106,06,STATIONARY,,4-Oct-22,,,RCRAINFO:TXR000085932,32.910812,-96.609508,RCRAINFO,GDT-ADDRESS MATCHING (GEOCODING),,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071432324,1.10071E+11,QORVO TEXAS,1201 E CAMPBELL RD,,RICHARDSON,DALLAS,48113,TX,TEXAS,UNITED STATES,75081-1936,,,,,32,4.8113E+14,12030106,,STATIONARY,,7-Jun-23,,,RCRAINFO:TXR000086295,32.975404,-96.703998,RCRAINFO,GDT-ADDRESS MATCHING (GEOCODING),,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071449866,1.10071E+11,TEXAS INSTRUMENTS - RICHARDSON,300 W RENNER RD,,RICHARDSON,COLLIN COUNTY,48085,TX,,,75080,,,,,03,4.8085E+14,12030106,06,STATIONARY,,21-Aug-23,,,"AIR:TX0000004808500212, CEDRI:CEDRI10231387, TSCA:TSCA10172999",32.998653,-96.720844,ICIS,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071674366,1.10072E+11,SAMSUNG AUSTIN SEMICONDUCTOR TAYLOR SITE,1200 SAMSUNG HWY,,TAYLOR,WILLIAMSON,48491,TX,TEXAS,UNITED STATES,76574-4540,,,,,31,4.8491E+14,12070205,06,STATIONARY,,17-Apr-24,,,"RCRAINFO:TXR000086438, TSCA:TSCA10245266",30.525666,-97.45832,RCRAINFO,GDT-ADDRESS MATCHING (GEOCODING),,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071718165,1.10072E+11,DALLAS SEMICONDUCTOR CORP,4350 S BELTWOOD PKWY,,DALLAS,DALLAS,48113,TX,TEXAS,UNITED STATES,75244-3292,,,,,24,4.8113E+14,12030103,06,STATIONARY,,6-Jun-24,,,EIS:9114511,32.94806,-96.83469,EIS,,,,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071718578,1.10072E+11,SAN ANTONIO FACILITY,8611 MILITARY DR. WEST,,SAN ANTONIO,BEXAR,48029,TX,TEXAS,UNITED STATES,78201,,,,,20,4.80292E+14,12100302,06,STATIONARY,,6-Jun-24,,,EIS:4881511,29.445,-98.64028,EIS,UNKNOWN,100,POINT WHERE SUBSTANCE IS RELEASED,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071956359,1.10072E+11,CANADIAN SOLAR USMM,3000 SKYLINE DR,,MESQUITE,DALLAS COUNTY,48113,TX,,,75149,,,,,05,4.8113E+14,12030106,06,STATIONARY,,24-Jun-25,,,TRIS:7514WCNDNS3SKYB,32.78037,-96.63973,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110072060799,1.10072E+11,TRINA SOLAR US MODULE MANUFACTORY 1,1200 N SUNRISE RD,,WILMER,DALLAS,48113,TX,TEXAS,UNITED STATES,75172-2730,,,,,30,4.8113E+14,12030105,,STATIONARY,,25-Sep-25,,,RCRAINFO:TXR000087122,32.595879,-96.704872,RCRAINFO,GDT-ADDRESS MATCHING (GEOCODING),,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110072060931,1.10072E+11,IC STAR SOLAR USA,19200 HAMISH RD,,TOMBALL,HARRIS,48201,TX,TEXAS,UNITED STATES,77377-7693,,,,,10,4.82016E+14,12040102,,STATIONARY,,25-Sep-25,,,RCRAINFO:TXR000086941,30.04179,-95.63037,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110072061070,1.10072E+11,CANADIAN SOLAR US MODULE MANUFACTURING,3000 SKYLINE DR,,MESQUITE,DALLAS,48113,TX,TEXAS,UNITED STATES,75149-1802,,,,,05,4.8113E+14,12030106,,STATIONARY,,25-Sep-25,,,RCRAINFO:TXR000087163,32.78037,-96.63973,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,
https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110072061614,1.10072E+11,UCT AUSTIN CROSSROADS,8500 E PARMER LN BLDG 2,,MANOR,TRAVIS,48453,TX,TEXAS,UNITED STATES,78653-2956,,,,,10,4.8453E+14,12090301,,STATIONARY,,25-Sep-25,,,RCRAINFO:TXR000087233,30.351176,-97.589205,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,
